wikipedia-country	OFFICIAL-LANGUAGES	any-wikipedia-country is the only country in any-wikipedia-continent that speaks Portuguese	Brazil	Brazil is the only country in Latin America that speaks Portuguese.	Portuguese
wikipedia-settlement	PUSHPIN-MAP	any-wikipedia-settlement is home to any-wikipedia-islands's largest stadium any-wikipedia-stadium	Dublin	Dublin is home to Ireland's largest stadium, Croke Park.	Ireland
wikipedia-company	LOCATION-CITY	any-wikipedia-company is a major movie studio in any-wikipedia-australian-place	Fox Studios Australia	Fox Studios Australia is a major movie studio in Sydney, Australia.	Sydney
wikipedia-swiss-town	MUNICIPALITY-TYPE	any-wikipedia-swiss-town is a municipality of the district any-wikipedia-settlement in the canton of any-wikipedia-canton in any-wikipedia-country	Iragna	Iragna is a municipality of the district Riviera in the canton of Ticino in Switzerland.	municipality
wikipedia-vice-president	TERM-END	any-wikipedia-vice-president was in office from any-date-one to any-date-two	James S. Sherman	He was in office from March 4, 1909 to October 30, 1912.	October 30, 1912
wikipedia-uk-place	COUNTRY	any-wikipedia-uk-place is a town in the Sandwell borough of the West Midlands, England with a population of around any-number	Tipton	Tipton is a town in the Sandwell borough of the West Midlands, England, with a population of around 47,000.	England
wikipedia-person	SPOUSE	any-wikipedia-person-one was also once married to actress any-wikipedia-person-two in any-date	Hank Azaria	He was also once married to actress Helen Hunt in 1999.	Helen Hunt
wikipedia-settlement	PUSHPIN-MAP	any-wikipedia-settlement is the capital city of any-wikipedia-islands	Dublin	Dublin is the capital city of Ireland.	Ireland
wikipedia-french-commune	DEPARTMENT	any-wikipedia-french-commune is a commune of the any-wikipedia-department departement in the southwestern part of any-wikipedia-country	Aramits	Aramits is a commune of the Pyrenees-Atlantiques departement in the southwestern part of France.	Pyrenees-Atlantiques
wikipedia-company	LOCATION-COUNTRY	any-wikipedia-company is a major movie studio in any-wikipedia-australian-place	Fox Studios Australia	Fox Studios Australia is a major movie studio in Sydney, Australia.	Australia
wikipedia-swiss-town	CANTON	any-wikipedia-swiss-town is a municipality of the district any-wikipedia-settlement in the canton of any-wikipedia-canton in any-wikipedia-country	Iragna	Iragna is a municipality of the district Riviera in the canton of Ticino in Switzerland.	Ticino
wikipedia-vice-president	PRESIDENT	any-wikipedia-vice-president was a member of the Republican Party and served with President William any-wikipedia-given-name any-wikipedia-river	James S. Sherman	Sherman was a member of the Republican Party, and served with President William Howard Taft.	William Howard Taft
wikipedia-royalty	SUCCESSION	any-wikipedia-royalty-one or any-wikipedia-musical often known as any-wikipedia-royalty-two or any-wikipedia-royalty-three was King of the Franks from any-number to any-number	Pepin the Short	Pepin the Short or Pippin , often known as Pepin the Younger or Pepin III, was King of the Franks from 751 to 768.	King of the Franks
wikipedia-person	RELATIVES	any-wikipedia-person-one was born in any-wikipedia-settlement in any-date to any-wikipedia-ethnic-group-one actor any-wikipedia-person-two and his wife any-wikipedia-person-three an actress and daughter of any-wikipedia-ethnic-group-one statesman any-wikipedia-officeholder	Kiefer Sutherland	He was born in London, England in 1966 to Canadian actor Donald Sutherland and his wife Shirley Douglas, an actress and daughter of Canadian statesman Tommy Douglas.	Tommy Douglas
wikipedia-uk-place	METROPOLITAN-COUNTY	any-wikipedia-uk-place is a part of the any-wikipedia-settlement and is a part of the Black Country	Tipton	It is a part of the West Midlands conurbation, and is a part of the Black Country.	West Midlands
wikipedia-religious-building	STATUS	The any-wikipedia-religious-building or the 'Em peror's Mosque' was built in any-date by the any-wikipedia-former-monarchy any-wikipedia-royalty in any-wikipedia-settlement	Badshahi Mosque	The Badshahi Mosque , or the 'Emperor's Mosque', was built in 1673 by the Mughal Emperor Aurangzeb in Lahore, Pakistan.	Mosque
wikipedia-settlement	PUSHPIN-MAP	any-wikipedia-settlement is also the biggest city on the island of any-wikipedia-islands	Dublin	Dublin is also the biggest city on the island of Ireland.	Ireland
wikipedia-italian-comune	REGION	any-wikipedia-italian-comune-one is in the province of any-wikipedia-italian-comune-two in the south of any-wikipedia-region-of-italy	Gela	It is in the province of Caltanissetta in the south of Sicily.	Sicily
wikipedia-comedian	NATIONALITY	any-wikipedia-comedian is an Emmy Award-winning and Golden Globe-nominated Colombian\/Puerto Rican American comedian actor and producer	John Leguizamo	John Leguizamo is an Emmy Award-winning and Golden Globe-nominated Colombian/Puerto Rican American comedian, actor and producer.	American
wikipedia-vice-president	PARTY	any-wikipedia-vice-president was a member of the Republican Party and served with President William any-wikipedia-given-name any-wikipedia-river	James S. Sherman	Sherman was a member of the Republican Party, and served with President William Howard Taft.	Republican
wikipedia-person	PARENTS	any-wikipedia-person-one was born in any-wikipedia-settlement in any-date to any-wikipedia-ethnic-group-one actor any-wikipedia-person-two and his wife any-wikipedia-person-three an actress and daughter of any-wikipedia-ethnic-group-one statesman any-wikipedia-officeholder	Kiefer Sutherland	He was born in London, England in 1966 to Canadian actor Donald Sutherland and his wife Shirley Douglas, an actress and daughter of Canadian statesman Tommy Douglas.	Shirley Douglas
wikipedia-uk-place	MAP-TYPE	any-wikipedia-uk-place is a part of the any-wikipedia-settlement and is a part of the Black Country	Tipton	It is a part of the West Midlands conurbation, and is a part of the Black Country.	West Midlands
wikipedia-building	MAP-TYPE	any-wikipedia-building is a tall minaret in Iqbal Park any-wikipedia-settlement built in commemoration of the Lahore Resolution	Minar-e-Pakistan	Minar-e-Pakistan is a tall minaret in Iqbal Park Lahore, built in commemoration of the Lahore Resolution.	Lahore
wikipedia-italian-comune	REGION	any-wikipedia-italian-comune is a city in the Italian region of any-wikipedia-region-of-italy	Gela	Gela is a city in the Italian region of Sicily.	Sicily
wikipedia-royalty	ISSUE	any-wikipedia-royalty's sons any-wikipedia-royalty and any-wikipedia-person were each King of half the any-wikipedia-former-country after him	Pepin the Short	His sons, Charlemagne and Carloman, were each King of half the Kingdom of the Franks after him.	Carloman
wikipedia-building	LOCATION	any-wikipedia-building-one or any-wikipedia-building-two is a very tall skyscraper in any-wikipedia-settlement and is the world's tallest man made building ever built	Burj Khalifa	Burj Khalifa or "Khalifa Tower" is a very tall skyscraper in Dubai, United Arab Emirates and is the world's tallest man made building ever built.	Dubai, United Arab Emirates
wikipedia-person	BIRTH-PLACE	any-wikipedia-person-one was born in any-wikipedia-settlement in any-date to any-wikipedia-ethnic-group-one actor any-wikipedia-person-two and his wife any-wikipedia-person-three an actress and daughter of any-wikipedia-ethnic-group-one statesman any-wikipedia-officeholder	Kiefer Sutherland	He was born in London, England in 1966 to Canadian actor Donald Sutherland and his wife Shirley Douglas, an actress and daughter of Canadian statesman Tommy Douglas.	London, England
wikipedia-uk-place	MAP-TYPE	any-wikipedia-uk-place is a town in the Sandwell borough of the West Midlands, England with a population of around any-number	Tipton	Tipton is a town in the Sandwell borough of the West Midlands, England, with a population of around 47,000.	West Midlands
wikipedia-government-agency	TYPE	The any-wikipedia-government-agency is a any-wikipedia-album department of the United States government with the goal of protecting the health of all Americans and providing essential human services	United States Department of Health and Human Services	The United States Department of Health and Human Services , is a Cabinet department of the United States government with the goal of protecting the health of all Americans and providing essential human services.	Department
wikipedia-vice-president	TERM-END	any-wikipedia-vice-president was in office from any-date-one to any-date-two	James S. Sherman	He was in office from March 4, 1909 to October 30, 1912.	March 4, 1909
wikipedia-software	DEVELOPER	any-wikipedia-software is made by any-wikipedia-company	Adobe Illustrator	It is made by Adobe Systems.	Adobe Systems
wikipedia-italian-comune	PROVINCE	any-wikipedia-italian-comune-one is in the province of any-wikipedia-italian-comune-two in the south of any-wikipedia-region-of-italy	Gela	It is in the province of Caltanissetta in the south of Sicily.	Caltanissetta
wikipedia-football-biography	NATIONALTEAM	any-wikipedia-football-biography has played for the Brazil national team	Juninho Paulista	He has played for the Brazil national team.	Brazil
wikipedia-airport	PUSHPIN-MAP	any-wikipedia-airport served any-number passengers in any-date-one and any-number passengers in any-date-two, more than a half of total passengers in any-wikipedia-country's airports	Tan Son Nhat International Airport	It served 8.5 million passengers in 2006 and 11 million passengers in 2007, more than a half of total passengers in Vietnam's airports.	Vietnam
wikipedia-uk-place	REGION	any-wikipedia-uk-place is a town in the Sandwell borough of the West Midlands, England with a population of around any-number	Tipton	Tipton is a town in the Sandwell borough of the West Midlands, England, with a population of around 47,000.	West Midlands
wikipedia-person	PARENTS	any-wikipedia-person-one was born in any-wikipedia-settlement in any-date to any-wikipedia-ethnic-group-one actor any-wikipedia-person-two and his wife any-wikipedia-person-three an actress and daughter of any-wikipedia-ethnic-group-one statesman any-wikipedia-officeholder	Kiefer Sutherland	He was born in London, England in 1966 to Canadian actor Donald Sutherland and his wife Shirley Douglas, an actress and daughter of Canadian statesman Tommy Douglas.	Donald Sutherland
wikipedia-file-format	MIME	any-wikipedia-file-format is a computer file format for word processors presentation software and other computer programs	OpenDocument	OpenDocument Format is a computer file format for word processors, presentation software and other computer programs.	presentation
wikipedia-country	OFFICIAL-LANGUAGES	any-wikipedia-country is a member state of the African Union the any-wikipedia-geopolitical-organization-one the any-wikipedia-geopolitical-organization-two any-wikipedia-organization and the any-wikipedia-geopolitical-organization-three	Angola	Angola is a member state of the African Union, the Community of Portuguese Language Countries, the Latin Union, South Atlantic Peace and Cooperation Zone and the Southern African Development Community.	Portuguese
wikipedia-building	DEVELOPER	any-wikipedia-company said on any-date that construction of any-wikipedia-building was slowed because of changes to finishes	Burj Khalifa	Emaar Properties said on 9 June 2008 that construction of Burj Khalifa was slowed because of changes to finishes.	Emaar Properties
wikipedia-airport	CITY-SERVED	any-wikipedia-airport is an airport in any-wikipedia-settlement	Tan Son Nhat International Airport	Tan Son Nhat International Airport is an airport in Ho Chi Minh City, Vietnam.	Ho Chi Minh City, Vietnam
wikipedia-football-biography	NATIONALTEAM	any-wikipedia-football-biography has played for Brazil national team	Mauro Silva	He has played for Brazil national team.	Brazil
wikipedia-uk-place	REGION	any-wikipedia-uk-place is a part of the any-wikipedia-settlement and is a part of the Black Country	Tipton	It is a part of the West Midlands conurbation, and is a part of the Black Country.	West Midlands
wikipedia-grandslamtournaments	COUNTRY	any-wikipedia-grandslamtournaments is played in any-wikipedia-australian-place	Australian Open	It is played in Melbourne, Australia.	Australia
wikipedia-officeholder	PRESIDENT	any-wikipedia-officeholder-one took office on any-date-one under any-wikipedia-officeholder-two and any-wikipedia-officeholder-three's administrations until his retirement on any-date-two Prior to this Gates served for 26 any-number in the any-wikipedia-government-agency-one and the any-wikipedia-government-agency-two	Robert Gates	He took office on December 18, 2006 under George W. Bush and Barack Obama's administrations until his retirement on July 1, 2011 Prior to this, Gates served for 26 years in the Central Intelligence Agency and the United States National Security Council.	Barack Obama
wikipedia-country	POPULATION-ESTIMATE	any-wikipedia-country's population is estimated to be any-number	Angola	Angola's population is estimated to be 18,498,000 .	18,498,000
wikipedia-airport	PUSHPIN-MAP	any-wikipedia-airport is an airport in any-wikipedia-settlement	Tan Son Nhat International Airport	Tan Son Nhat International Airport is an airport in Ho Chi Minh City, Vietnam.	Vietnam
wikipedia-file-format	MIME	For example OpenOffice is a program that uses any-wikipedia-file-format to save text slideshows and spreadsheets	OpenDocument	For example, OpenOffice is a program that uses ODF to save text, slideshows and spreadsheets.	text
wikipedia-building	OPENING	any-wikipedia-building opened on any-date	Burj Khalifa	Burj Khalifa opened on 4 January 2010.	4 January 2010
wikipedia-grandslamtournaments	CITY	any-wikipedia-grandslamtournaments is played in any-wikipedia-australian-place	Australian Open	It is played in Melbourne, Australia.	Melbourne
wikipedia-video-game	PUBLISHER	any-wikipedia-video-game is an any-wikipedia-company videogame that belongs to the any-wikipedia-video-game-series	Need for Speed: Carbon	Need For Speed: Carbon is an Electronic Arts videogame that belongs to the Need for Speed series.	Electronic Arts
wikipedia-football-biography	NATIONALTEAM	any-wikipedia-football-biography has played for Brazil national team	Bebeto	He has played for Brazil national team.	Brazil
wikipedia-officeholder	PRESIDENT	Under President George H W Bush any-wikipedia-officeholder served as Director of Central Intelligence	Robert Gates	Under President George H. W. Bush, Gates served as Director of Central Intelligence.	George H. W. Bush
wikipedia-country	LARGEST-CITY	any-wikipedia-country is divided into any-number provinces and the capital city of any-wikipedia-settlement	Armenia	Armenia is divided into ten provinces and the capital city of Yerevan.	capital
wikipedia-book	AUTHOR	any-wikipedia-book is a book written by any-wikipedia-writer	Just Ella	Just Ella is a book written by Margaret Peterson Haddix.	Margaret Peterson Haddix
wikipedia-software	DEVELOPER	Many people can edit the document and also download to edit on their version of any-wikipedia-software	Microsoft Office 2010	Many people can edit the document and also download to edit on their version of Microsoft Office 2010.	Microsoft
wikipedia-building	HIGHEST-PREV	any-wikipedia-building-one was the tallest building until any-date before any-wikipedia-building-two was built	Burj Khalifa	Taipei 101 was the tallest building until 2010 before Burj Khalifa was built.	Taipei 101
wikipedia-university	STATE	any-wikipedia-university is a private university in Chestnut Hill, Massachusetts	Boston College	Boston College is a private university in Chestnut Hill, Massachusetts.	Massachusetts
wikipedia-swiss-town	CANTON	any-wikipedia-swiss-town-one is the capital of the Wahlkreis of any-wikipedia-swiss-town-one in the canton of St Gallen in any-wikipedia-country	Wil	Wil is the capital of the Wahlkreis of Wil in the canton of St. Gallen in Switzerland.	St. Gallen
wikipedia-video-game	SERIES	any-wikipedia-video-game is an any-wikipedia-company videogame that belongs to the any-wikipedia-video-game-series	Need for Speed: Carbon	Need For Speed: Carbon is an Electronic Arts videogame that belongs to the Need for Speed series.	Need for Speed
wikipedia-officeholder	TERM-START	any-wikipedia-officeholder-one took office on any-date-one under any-wikipedia-officeholder-two and any-wikipedia-officeholder-three's administrations until his retirement on any-date-two Prior to this Gates served for 26 any-number in the any-wikipedia-government-agency-one and the any-wikipedia-government-agency-two	Robert Gates	He took office on December 18, 2006 under George W. Bush and Barack Obama's administrations until his retirement on July 1, 2011 Prior to this, Gates served for 26 years in the Central Intelligence Agency and the United States National Security Council.	December 18, 2006
wikipedia-french-commune	DEPARTMENT	any-wikipedia-french-commune is a commune of the any-wikipedia-department departement in the southwestern part of any-wikipedia-country	Araujuzon	Araujuzon is a commune of the Pyrenees-Atlantiques departement in the southwestern part of France.	Pyrenees-Atlantiques
wikipedia-software	DEVELOPER	any-wikipedia-software-one will include any-wikipedia-software-two an online version of any-wikipedia-software-three	Microsoft Office 2010	It will include Microsoft Office Web Apps, an online version of Microsoft Office.	Microsoft
wikipedia-musical-artist	CURRENT-MEMBERS	any-wikipedia-musical-artist has written any-number songs	Dave Matthews Band	Dave Matthews Band has written 235 songs .	Dave Matthews
wikipedia-film	DIRECTOR	any-wikipedia-film-one was the any-ordinal movie in any-wikipedia-person's The any-wikipedia-film-two Trilogy	Batman Begins	Batman Begins was the first movie in Christopher Nolan's The Dark Knight Trilogy.	Christopher Nolan
wikipedia-swiss-town	CANTON	any-wikipedia-swiss-town-one is a municipality of the Wahlkreis of any-wikipedia-swiss-town-two in the canton of St Gallen in any-wikipedia-country	Uzwil	Uzwil is a municipality of the Wahlkreis of Wil in the canton of St. Gallen in Switzerland.	St. Gallen
wikipedia-athletic-conference	ASSOCIATION	any-wikipedia-athletic-conference-one officially abbreviated any-wikipedia-athletic-conference-two is a group of college sports teams that play each other on the NCAA Division I level	Conference USA	Conference USA, officially abbreviated C-USA, is a group of college sports teams that play each other on the NCAA Division I level.	NCAA
wikipedia-country	CAPITAL	any-wikipedia-country is divided into any-number provinces and the capital city of any-wikipedia-settlement	Armenia	Armenia is divided into ten provinces and the capital city of Yerevan.	Yerevan
wikipedia-royalty	SUCCESSOR	any-wikipedia-royalty's sons any-wikipedia-royalty and any-wikipedia-person were each King of half the any-wikipedia-former-country after him	Pepin the Short	His sons, Charlemagne and Carloman, were each King of half the Kingdom of the Franks after him.	Charlemagne and Carloman
wikipedia-vg	PLATFORMS	any-wikipedia-vg is only available for the PlayStation any-number	MotorStorm	It is only available for the PlayStation 3.	PlayStation 3
wikipedia-musical-artist	CURRENT-MEMBERS	any-wikipedia-musical-artist is a band from the any-wikipedia-country	Dave Matthews Band	Dave Matthews Band is a band from the United States.	Dave Matthews
wikipedia-royalty	SUCCESSION	any-wikipedia-royalty was King of any-wikipedia-country-one King of any-wikipedia-settlement Archduke of any-wikipedia-country-two and Holy Roman Emperor	Rudolf II, Holy Roman Emperor	Rudolf II was King of Hungary , King of Bohemia , Archduke of Austria , and Holy Roman Emperor .	King of Bohemia
wikipedia-person	NATIONALITY	Sir Maurice Joseph Micklewhite, Jr any-wikipedia-order known by the artistic name any-wikipedia-person is a popular any-wikipedia-language movie actor	Michael Caine	Sir Maurice Joseph Micklewhite, Jr. CBE , known by the artistic name Michael Caine, is a popular English movie actor.	English
wikipedia-football-biography	NATIONALTEAM	any-wikipedia-football-biography has played for any-wikipedia-country national team	David Bisconti	He has played for Argentina national team.	Argentina
wikipedia-athletic-conference	DIVISION	any-wikipedia-athletic-conference-one officially abbreviated any-wikipedia-athletic-conference-two is a group of college sports teams that play each other on the NCAA Division I level	Conference USA	Conference USA, officially abbreviated C-USA, is a group of college sports teams that play each other on the NCAA Division I level.	Division I
wikipedia-country	OFFICIAL-LANGUAGES	The Armenian name for any-wikipedia-country means any-wikipedia-film of Haik	Armenia	The Armenian name for Armenia means Land of Haik.	Armenian
wikipedia-officeholder	PRESIDENT	any-wikipedia-officeholder-one took office on any-date-one under any-wikipedia-officeholder-two and any-wikipedia-officeholder-three's administrations until his retirement on any-date-two Prior to this Gates served for 26 any-number in the any-wikipedia-government-agency-one and the any-wikipedia-government-agency-two	Robert Gates	He took office on December 18, 2006 under George W. Bush and Barack Obama's administrations until his retirement on July 1, 2011 Prior to this, Gates served for 26 years in the Central Intelligence Agency and the United States National Security Council.	George W. Bush
wikipedia-person	RELATIVES	any-wikipedia-person's brothers and sisters are any-wikipedia-person-one any-wikipedia-person-two any-wikipedia-person-three any-wikipedia-person-four and his twin brother, Jacob Fiennes	Joseph Fiennes	His brothers and sisters are Ralph Fiennes, Sophie Fiennes, Martha Fiennes, Magnus Fiennes and his twin brother, Jacob Fiennes.	Sophie Fiennes
wikipedia-military-unit	COMMAND-STRUCTURE	any-wikipedia-military-unit is part of the any-wikipedia-national-military	Royal Australian Navy	It is part of the Australian Defence Force.	Australian Defence Force
wikipedia-football-biography	NATIONALTEAM	any-wikipedia-football-biography has played for any-wikipedia-country national team	Yoshihiro Natsuka	He has played for Japan national team.	Japan
wikipedia-uk-place	COUNTRY	any-wikipedia-uk-place was very important a long time ago because it is at the center of Scotland	Stirling	Stirling was very important a long time ago because it is at the centre of Scotland.	Scotland
wikipedia-person	RELATIVES	any-wikipedia-person's brothers and sisters are any-wikipedia-person-one any-wikipedia-person-two any-wikipedia-person-three any-wikipedia-person-four and his twin brother, Jacob Fiennes	Joseph Fiennes	His brothers and sisters are Ralph Fiennes, Sophie Fiennes, Martha Fiennes, Magnus Fiennes and his twin brother, Jacob Fiennes.	Magnus Fiennes
wikipedia-military-unit	TYPE	The head of the any-wikipedia-military-unit is the any-wikipedia-musical-artist presently any-wikipedia-royalty	Royal Australian Navy	The head of the Royal Australian Navy is the Monarch presently Queen Elizabeth II.	Navy
wikipedia-royalty	TITLE	any-wikipedia-royalty was the any-ordinal any-infobox of the any-wikipedia-former-country	Suleiman the Magnificent	Suleiman I , was the tenth Sultan of the Ottoman Empire.	Sultan of the Ottoman Empire
wikipedia-football-biography	YOUTHCLUBS	any-wikipedia-football-biography is playing for any-wikipedia-settlement and the any-wikipedia-national-football-team	Carles Puyol	He is playing for Barcelona and the Spain national team.	Barcelona
wikipedia-uk-place	COUNTRY	any-wikipedia-uk-place used to be the capital of the Kingdom of any-wikipedia-country	Stirling	It used to be the capital of the Kingdom of Scotland.	Scotland
wikipedia-country	GDP-NOMINAL-RANK	While any-wikipedia-country achieved many things in the First millennium and early any-ordinal millennium it became an isolationist country in the any-date any-wikipedia-planet any-wikipedia-animanga\/video	China	While China achieved many things in the First millennium and early 2nd millennium, it became an isolationist country in the 15th century C.E.	2nd
wikipedia-person	RELATIVES	any-wikipedia-person's brothers and sisters are any-wikipedia-person-one any-wikipedia-person-two any-wikipedia-person-three any-wikipedia-person-four and his twin brother, Jacob Fiennes	Joseph Fiennes	His brothers and sisters are Ralph Fiennes, Sophie Fiennes, Martha Fiennes, Magnus Fiennes and his twin brother, Jacob Fiennes.	Ralph Fiennes
wikipedia-military-unit	TYPE	The any-wikipedia-military-unit is the navy of any-wikipedia-country	Royal Australian Navy	The Royal Australian Navy is the navy of Australia.	Navy
wikipedia-football-biography	CURRENTCLUB	any-wikipedia-football-biography is playing for any-wikipedia-settlement and the any-wikipedia-national-football-team	Carles Puyol	He is playing for Barcelona and the Spain national team.	Barcelona
wikipedia-president	NATIONALITY	any-wikipedia-president studied law and then worked in the Finnish secret police	Urho Kekkonen	He studied law and then worked in the Finnish secret police.	Finnish
wikipedia-royalty	SUCCESSION	any-wikipedia-royalty was the any-ordinal any-infobox of the any-wikipedia-former-country	Suleiman the Magnificent	Suleiman I , was the tenth Sultan of the Ottoman Empire.	Sultan of the Ottoman Empire
wikipedia-country	LANGUAGES-TYPE	The most important languages spoken in any-wikipedia-country are any-wikipedia-language-one and any-wikipedia-language-two	Tokelau	The most important languages spoken in Tokelau are English and Tokelauan.	languages
wikipedia-person	BIRTH-PLACE	any-wikipedia-person was born on any-date in any-wikipedia-uk-place any-wikipedia-country	Joseph Fiennes	He was born on 27 May 1970 in Salisbury, Wiltshire, England.	Salisbury, Wiltshire, England
wikipedia-football-biography	CLUBS	any-wikipedia-football-biography is playing for any-wikipedia-settlement and the any-wikipedia-national-football-team	Carles Puyol	He is playing for Barcelona and the Spain national team.	Barcelona
wikipedia-president	ORDER	any-wikipedia-president was also any-wikipedia-official-post before that	Urho Kekkonen	He was also Prime Minister of Finland before that.	Prime Minister of Finland
wikipedia-german-location	BUNDESLAND	any-wikipedia-german-location-one is a municipality in the district of any-wikipedia-german-location-two in any-wikipedia-german-bundesland	Quickborn, Dithmarschen	Quickborn is a municipality in the district of Dithmarschen, in Schleswig-Holstein, Germany.	Schleswig-Holstein
wikipedia-album	ARTIST	any-wikipedia-album shows a very big change in any-wikipedia-musical-artist's sound because they began to use alternative rock and electronic sounds in the rhythm more production and more guitar effects also including darker and more personal song words	Achtung Baby	Achtung Baby shows a very big change in U2's sound because they began to use alternative rock and electronic sounds in the rhythm, more production, and more guitar effects, also including darker and more personal song words.	U2
wikipedia-country	GDP-PPP-RANK	While any-wikipedia-country achieved many things in the First millennium and early any-ordinal millennium it became an isolationist country in the any-date any-wikipedia-planet any-wikipedia-animanga\/video	China	While China achieved many things in the First millennium and early 2nd millennium, it became an isolationist country in the 15th century C.E.	2nd
wikipedia-scientist	NATIONALITY	any-wikipedia-scientist was an any-wikipedia-language ornithologist	John Gould	John Gould was an English ornithologist .	English
wikipedia-person	PARENTS	any-wikipedia-person's parents were any-wikipedia-person-one and any-wikipedia-person-two	Joseph Fiennes	His parents were Jennifer Lash and Mark Fiennes.	Jennifer Lash
wikipedia-football-biography	NATIONALTEAM	any-wikipedia-football-biography is playing for any-wikipedia-settlement and the any-wikipedia-national-football-team	Carles Puyol	He is playing for Barcelona and the Spain national team.	Spain
wikipedia-president	PREDECESSOR	any-wikipedia-president-one tried to keep good relations with the any-wikipedia-former-country like president any-wikipedia-president-two	Urho Kekkonen	He tried to keep good relations with the Soviet Union like president Juho Kusti Paasikivi.	Juho Kusti Paasikivi
wikipedia-german-location	KREIS	any-wikipedia-german-location-one is a municipality in the district of any-wikipedia-german-location-two in any-wikipedia-german-bundesland	Quickborn, Dithmarschen	Quickborn is a municipality in the district of Dithmarschen, in Schleswig-Holstein, Germany.	Dithmarschen
wikipedia-us-cabinet-official	TITLE	any-wikipedia-us-cabinet-official was a any-wikipedia-political-post-one and the any-ordinal any-wikipedia-political-post-two	James Forrestal	James Vincent Forrestal was a United States Secretary of the Navy and the first United States Secretary of Defense.	United States Secretary of Defense
